batchNum,accuracy_spam_1,precision_spam_1,recall_spam_1,accuracy_spam_0,precision_spam_0,recall_spam_0
40,0.98,0.9636363636363636,1.0,0.02,0.03636363636363636,0.0425531914893617
41,0.98,0.9615384615384616,1.0,0.02,0.038461538461538464,0.04
42,0.99,0.9814814814814815,1.0,0.01,0.018518518518518517,0.02127659574468085
43,0.96,0.9272727272727272,1.0,0.04,0.07272727272727272,0.08163265306122448
44,0.98,0.9629629629629629,1.0,0.02,0.037037037037037035,0.041666666666666664
45,0.97,0.94,1.0,0.03,0.06,0.05660377358490566
46,0.99,0.9803921568627451,1.0,0.01,0.0196078431372549,0.02
47,0.96,0.9215686274509803,1.0,0.04,0.0784313725490196,0.07547169811320754
48,0.99,0.9803921568627451,1.0,0.01,0.0196078431372549,0.02
49,0.96,0.9344262295081968,1.0,0.04,0.06557377049180328,0.09302325581395349
50,0.98,0.9649122807017544,1.0,0.02,0.03508771929824561,0.044444444444444446
51,0.99,0.9803921568627451,1.0,0.01,0.0196078431372549,0.02
52,0.97,0.9433962264150944,1.0,0.03,0.05660377358490566,0.06
53,0.95,0.9583333333333334,0.9387755102040817,0.05,0.041666666666666664,0.0392156862745098
54,0.94,0.9473684210526315,0.9473684210526315,0.06,0.05263157894736842,0.06976744186046512
55,0.93,0.8775510204081632,0.9772727272727273,0.07,0.12244897959183673,0.10714285714285714
56,0.95,0.975609756097561,0.9090909090909091,0.05,0.024390243902439025,0.017857142857142856
57,0.88,0.8888888888888888,0.8,0.12,0.1111111111111111,0.06666666666666667
58,0.88,1.0,0.7735849056603774,0.12,0.0,0.0
59,0.9,0.9772727272727273,0.8269230769230769,0.1,0.022727272727272728,0.020833333333333332
60,0.88,0.9090909090909091,0.8333333333333334,0.12,0.09090909090909091,0.07692307692307693
61,0.87,0.9230769230769231,0.782608695652174,0.13,0.07692307692307693,0.05555555555555555
62,0.86,0.8787878787878788,0.7435897435897436,0.14,0.12121212121212122,0.06557377049180328
63,0.92,0.9795918367346939,0.8727272727272727,0.08,0.02040816326530612,0.022222222222222223
64,0.91,0.9607843137254902,0.875,0.09,0.0392156862745098,0.045454545454545456
65,0.9,0.9787234042553191,0.8363636363636363,0.1,0.02127659574468085,0.022222222222222223
66,0.88,0.9743589743589743,0.7755102040816326,0.12,0.02564102564102564,0.0196078431372549
67,0.93,1.0,0.8653846153846154,0.07,0.0,0.0
68,0.86,0.9428571428571428,0.7333333333333333,0.14,0.05714285714285714,0.03636363636363636
69,0.87,0.8648648648648649,0.8,0.13,0.13513513513513514,0.08333333333333333
70,0.89,0.9142857142857143,0.8,0.11,0.08571428571428572,0.05
71,0.94,0.9782608695652174,0.9,0.06,0.021739130434782608,0.02
72,0.89,0.9772727272727273,0.8113207547169812,0.11,0.022727272727272728,0.02127659574468085
73,0.9,0.9318181818181818,0.8541666666666666,0.1,0.06818181818181818,0.057692307692307696
74,0.9,0.9230769230769231,0.8888888888888888,0.1,0.07692307692307693,0.08695652173913043
75,0.89,0.972972972972973,0.782608695652174,0.11,0.02702702702702703,0.018518518518518517
76,0.93,0.972972972972973,0.8571428571428571,0.07,0.02702702702702703,0.017241379310344827
77,0.84,0.926829268292683,0.7450980392156863,0.16,0.07317073170731707,0.061224489795918366
78,0.94,1.0,0.8947368421052632,0.06,0.0,0.0
79,0.91,0.9772727272727273,0.8431372549019608,0.09,0.022727272727272728,0.02040816326530612
80,0.81,0.8571428571428571,0.7346938775510204,0.19,0.14285714285714285,0.11764705882352941
81,0.87,0.9761904761904762,0.7735849056603774,0.13,0.023809523809523808,0.02127659574468085
82,0.86,0.9791666666666666,0.7833333333333333,0.14,0.020833333333333332,0.025
83,0.86,0.8888888888888888,0.8163265306122449,0.14,0.1111111111111111,0.09803921568627451
84,0.92,0.9555555555555556,0.8775510204081632,0.08,0.044444444444444446,0.0392156862745098
85,0.82,0.9285714285714286,0.7222222222222222,0.18,0.07142857142857142,0.06521739130434782
86,0.86,0.9767441860465116,0.7636363636363637,0.14,0.023255813953488372,0.022222222222222223
87,0.91,0.9375,0.8823529411764706,0.09,0.0625,0.061224489795918366
88,0.89,0.9777777777777777,0.8148148148148148,0.11,0.022222222222222223,0.021739130434782608
89,0.9,0.9459459459459459,0.813953488372093,0.1,0.05405405405405406,0.03508771929824561
90,0.94,0.98,0.9074074074074074,0.06,0.02,0.021739130434782608
91,0.84,0.875,0.8076923076923077,0.16,0.125,0.125
92,0.95,0.96,0.9411764705882353,0.05,0.04,0.04081632653061224
