BatchNum,Accuracy,Precision,Recall
76,0.97,0.9444444444444444,1.0
77,1.0,1.0,1.0
78,0.99,0.9807692307692307,1.0
79,0.94,0.8909090909090909,1.0
80,0.99,0.9814814814814815,1.0
81,0.99,0.9836065573770492,1.0
82,0.96,0.9245283018867925,1.0
83,0.99,0.98,1.0
84,0.97,0.9473684210526315,1.0
85,0.99,0.9821428571428571,1.0
86,0.98,0.9622641509433962,1.0
87,0.99,0.9818181818181818,1.0
88,0.99,0.9772727272727273,1.0
89,0.99,0.9818181818181818,1.0
90,0.96,0.9285714285714286,1.0
91,0.97,0.9444444444444444,1.0
92,0.99,0.9761904761904762,1.0
93,0.98,0.9629629629629629,1.0
94,0.97,0.9411764705882353,1.0
95,0.98,0.9636363636363636,1.0
96,0.97,0.9473684210526315,1.0
97,0.99,0.9811320754716981,1.0
98,0.97,0.9423076923076923,1.0
99,0.99,0.9807692307692307,1.0
100,0.99,0.9807692307692307,1.0
101,0.99,0.9818181818181818,1.0
102,0.98,0.9615384615384616,1.0
103,0.98,0.9591836734693877,1.0
104,1.0,1.0,1.0
105,0.99,0.984375,1.0
106,0.95,0.9056603773584906,1.0
107,0.99,0.9811320754716981,1.0
108,0.98,0.9591836734693877,1.0
109,0.97,0.9423076923076923,1.0
110,1.0,1.0,1.0
111,0.95,0.8913043478260869,1.0
112,0.99,0.9791666666666666,1.0
113,0.97,0.9454545454545454,1.0
114,0.99,0.9743589743589743,1.0
115,0.96,0.9333333333333333,1.0
116,1.0,1.0,1.0
117,0.99,0.9767441860465116,1.0
118,0.99,0.9811320754716981,1.0
119,0.95,0.9,1.0
120,0.97,0.9482758620689655,1.0
121,0.97,0.9361702127659575,1.0
122,0.96,0.9402985074626866,1.0
123,0.99,0.9772727272727273,1.0
124,0.99,0.98,1.0
125,0.99,0.9787234042553191,1.0
126,0.97,0.9433962264150944,1.0
127,0.98,0.9636363636363636,1.0
128,0.96,0.9148936170212766,1.0
129,0.97,0.9482758620689655,1.0
130,0.95,0.9122807017543859,1.0
131,1.0,1.0,1.0
132,0.95,0.9019607843137255,1.0
133,0.99,0.9811320754716981,1.0
134,0.99,0.9807692307692307,1.0
135,1.0,1.0,1.0
136,0.99,0.9811320754716981,1.0
137,0.99,0.9787234042553191,1.0
138,1.0,1.0,1.0
139,1.0,1.0,1.0
140,1.0,1.0,1.0
141,0.99,0.9787234042553191,1.0
142,1.0,1.0,1.0
143,1.0,1.0,1.0
144,0.99,0.9821428571428571,1.0
145,1.0,1.0,1.0
146,1.0,1.0,1.0
147,1.0,1.0,1.0
148,1.0,1.0,1.0
149,1.0,1.0,1.0
150,1.0,1.0,1.0
151,0.99,0.98,1.0
152,1.0,1.0,1.0
153,1.0,1.0,1.0
154,0.99,0.9807692307692307,1.0
155,1.0,1.0,1.0
156,1.0,1.0,1.0
157,0.99,0.9791666666666666,1.0
158,0.99,0.9827586206896551,1.0
159,1.0,1.0,1.0
160,1.0,1.0,1.0
161,1.0,1.0,1.0
162,1.0,1.0,1.0
163,0.99,0.9791666666666666,1.0
164,0.99,0.9803921568627451,1.0
165,0.99,0.98,1.0
166,1.0,1.0,1.0
167,0.99,0.9803921568627451,1.0
168,1.0,1.0,1.0
169,1.0,1.0,1.0
170,1.0,1.0,1.0
171,0.99,0.9803921568627451,1.0
172,1.0,1.0,1.0
173,1.0,1.0,1.0
174,0.98,0.96,1.0
175,0.99,0.9850746268656716,1.0
176,0.99,0.9818181818181818,1.0
177,0.97,0.9387755102040817,1.0
178,1.0,1.0,1.0
